iter	Logloss
0	0.6894287351
1	0.6856891774
2	0.6819350705
3	0.6778541056
4	0.6745499509
5	0.6718374301
6	0.6682457587
7	0.6645512568
8	0.6625561734
9	0.6596894973
10	0.6585368334
11	0.6557117113
12	0.6522436382
13	0.6498949585
14	0.6466960212
15	0.6438158698
16	0.6402980006
17	0.6370270729
18	0.6338102993
19	0.6308403578
20	0.6280313024
21	0.6260309607
22	0.6234896479
23	0.6209669989
24	0.6184339418
25	0.6154981785
26	0.6146751841
27	0.6119286811
28	0.6093534519
29	0.6070393935
30	0.6048347436
31	0.6029067347
32	0.6007030665
33	0.598545473
34	0.5966228977
35	0.5942891101
36	0.5928558671
37	0.5908044399
38	0.5887617171
39	0.5864592284
40	0.5846390771
41	0.582560667
42	0.5806785177
43	0.5789114857
44	0.5769267672
45	0.5754996044
46	0.5738940734
47	0.572058163
48	0.5709203816
49	0.5691020931
50	0.5672595999
51	0.5655246748
52	0.5636878119
53	0.5626728622
54	0.560564178
55	0.559429094
56	0.5580148913
57	0.5562720747
58	0.5548959607
59	0.5529019494
60	0.5508872935
61	0.5494877797
62	0.5481941167
63	0.546482158
64	0.5453339364
65	0.5449187994
66	0.5436186974
67	0.5417282576
68	0.5397763226
69	0.5385418845
70	0.5372306758
71	0.5357488824
72	0.5348212715
73	0.5336321642
74	0.5322491816
75	0.5313982334
76	0.5301369926
77	0.5288512141
78	0.5271120161
79	0.5260343092
80	0.5251339836
81	0.5241310624
82	0.5228091524
83	0.5214889496
84	0.5204029489
85	0.5193924423
86	0.5184238284
87	0.5172160023
88	0.5164406635
89	0.5155234843
90	0.515244621
91	0.5140904569
92	0.5135975158
93	0.5127976183
94	0.5112239705
95	0.5098667475
96	0.5089473869
97	0.5077291996
98	0.5067341251
99	0.5053246056
100	0.5043283574
101	0.5033035512
102	0.5024027553
103	0.501348888
104	0.5007622951
105	0.4995150018
106	0.4989650514
107	0.4978351627
108	0.4968899716
109	0.4957502461
110	0.4948671965
111	0.4939821564
112	0.4930776379
113	0.4919801565
114	0.4910970206
115	0.4904813775
116	0.4893139661
117	0.488616427
118	0.487820682
119	0.4871854614
120	0.4862978117
121	0.4853105508
122	0.4848058493
123	0.4839489085
124	0.482878432
125	0.481860136
126	0.4809587545
127	0.4805622875
128	0.4801496244
129	0.4792485177
130	0.4786018609
131	0.47799381
132	0.4774458659
133	0.4766429322
134	0.4760547053
135	0.4753172736
136	0.4745351124
137	0.4741542216
138	0.4738553881
139	0.4734509203
140	0.4727771403
141	0.4721698464
142	0.4713985625
143	0.4704569653
144	0.4699327629
145	0.4692543925
146	0.4687524896
147	0.4681673201
148	0.4673340368
149	0.4663250022
150	0.4656477061
151	0.4648730368
152	0.4642732458
153	0.4634630317
154	0.4625730069
155	0.4621033065
156	0.4614802137
157	0.4609146692
158	0.4601730205
159	0.4596515976
160	0.4585102967
161	0.457665985
162	0.4569674888
163	0.4564398139
164	0.4558225802
165	0.4553579159
166	0.4544740303
167	0.4543655828
168	0.4535638514
169	0.4527117799
170	0.4521808478
171	0.4516374708
172	0.450989899
173	0.4504429268
174	0.4500791998
175	0.4496282398
176	0.4489941294
177	0.4480763071
178	0.4473505906
179	0.4471235553
180	0.4464100669
181	0.4457933225
182	0.4453402491
183	0.4448748005
184	0.4447606313
185	0.4441282245
186	0.4436644772
187	0.4429044085
188	0.4424665605
189	0.4418249926
190	0.4411093984
191	0.4407421831
192	0.4401379029
193	0.4397127957
194	0.4393187123
195	0.438680549
196	0.4379391337
197	0.4375339002
198	0.4371775809
199	0.4367633572
200	0.4363310618
201	0.4357187654
202	0.4351630703
