iter	Passed	Remaining
0	63	63512
1	67	33736
2	70	23316
3	72	18172
4	75	15021
5	76	12667
6	78	11162
7	80	10015
8	82	9088
9	84	8393
10	85	7681
11	87	7216
12	89	6819
13	90	6382
14	92	6083
15	94	5833
16	97	5618
17	99	5437
18	101	5261
19	104	5099
20	106	4957
21	108	4821
22	110	4696
23	112	4587
24	115	4489
25	117	4400
26	118	4265
27	120	4186
28	122	4107
29	124	4036
30	127	3972
31	129	3931
32	132	3878
33	134	3823
34	136	3773
35	139	3729
36	141	3684
37	143	3638
38	147	3639
39	150	3606
40	152	3572
41	155	3535
42	157	3499
43	159	3460
44	161	3427
45	163	3395
46	166	3368
47	168	3336
48	170	3305
49	172	3278
50	174	3255
51	177	3234
52	179	3207
53	181	3183
54	183	3161
55	186	3139
56	188	3118
57	191	3111
58	194	3105
59	198	3114
60	202	3116
61	205	3115
62	209	3111
63	211	3094
64	213	3076
65	214	3041
66	216	3021
67	219	3008
68	222	3003
69	224	2988
70	227	2974
71	230	2965
72	232	2950
73	234	2937
74	237	2925
75	239	2911
76	241	2897
77	244	2886
78	246	2874
79	248	2860
80	251	2849
81	253	2838
82	255	2826
83	259	2828
84	262	2822
85	264	2814
86	267	2803
87	269	2792
88	271	2781
89	274	2770
90	275	2747
91	277	2737
92	278	2720
93	281	2710
94	283	2702
95	286	2699
96	289	2690
97	291	2681
98	293	2671
99	295	2662
100	297	2652
101	300	2643
102	302	2635
103	305	2630
104	307	2621
105	309	2613
106	312	2605
107	314	2597
108	316	2590
109	319	2582
110	321	2574
111	323	2566
112	326	2559
113	328	2550
114	330	2544
115	332	2537
116	335	2530
117	337	2523
118	340	2517
119	342	2510
120	344	2504
121	347	2497
122	349	2493
123	352	2486
124	354	2480
125	356	2474
126	359	2467
127	361	2461
128	363	2455
129	366	2450
130	368	2445
131	370	2437
132	373	2435
133	376	2430
134	378	2423
135	383	2435
136	386	2434
137	389	2432
138	390	2421
139	393	2419
140	398	2428
141	404	2442
142	407	2442
143	410	2442
144	413	2437
145	418	2446
146	421	2444
147	423	2438
148	426	2434
149	428	2429
150	432	2434
151	435	2430
152	437	2424
153	440	2420
154	443	2416
155	445	2412
156	449	2412
157	451	2407
158	453	2400
159	456	2395
160	458	2389
161	461	2385
162	464	2385
163	466	2379
164	469	2373
165	471	2369
166	473	2363
167	475	2353
168	478	2352
169	481	2350
170	483	2343
171	485	2339
172	488	2333
173	490	2327
174	493	2327
175	496	2326
176	499	2323
177	502	2318
178	504	2313
179	506	2306
180	509	2304
181	512	2301
